numentre,satis_dem,creenciasS,etnia,estrato,partido_pol,conf_inst
949,3,1,3,4,0,"7,75"
950,3,1,3,3,0,"8,875"
951,3,3,3,3,30,"6,625"
952,3,1,3,3,50,"8,3125"
953,3,2,3,3,30,"5,5"
954,2,3,3,2,0,"4,9375"
956,4,3,3,2,0,"4,375"
959,3,1,3,4,30,"5,5"
960,3,1,3,5,0,"8,3125"
962,1,2,3,3,30,"6,625"
963,3,1,3,5,50,"7,1875"
965,1,2,3,4,30,"6,625"
966,3,1,3,2,30,"7,1875"
969,1,3,3,2,30,"7,75"
970,3,3,3,5,30,"6,0625"
976,3,1,3,5,50,"8,3125"
977,4,1,3,4,0,"7,75"
978,3,3,3,3,0,"8,3125"
979,3,3,3,4,0,"8,875"
980,4,1,3,5,0,"8,875"
981,3,3,3,3,0,"7,1875"
982,3,3,3,3,30,"7,75"
983,3,1,4,3,0,"8,3125"
984,3,1,3,3,0,"8,3125"
985,3,2,3,3,0,"8,3125"
986,2,2,3,4,30,"8,3125"
987,3,1,3,3,30,"6,0625"
988,3,1,3,3,0,"7,75"
989,2,1,3,5,0,"6,625"
990,3,1,3,4,0,"9,4375"
991,3,2,3,1,30,"8,875"
992,1,1,3,3,70,"7,1875"
993,4,1,3,3,0,"7,1875"
995,3,2,3,4,30,"6,625"
996,1,3,4,1,30,"8,875"
997,1,1,3,3,30,"6,625"
998,3,1,3,3,0,"7,1875"
999,4,1,3,3,0,"7,1875"
1000,3,1,3,3,0,"7,1875"
